Panel,Controller,Equipment,Control strategy,Points,Sequence of operations
LCP-1F,DDC-1F-02,"EVU-1, EVU-2, EVU-3",Scheduled ventilation / exhaust,36,"Purpose: Ventilation / exhaust: run to the occupancy schedule and IAQ demand. | Control: Start/stop `*.SS` on schedule; interlock with associated AHU / fire mode; prove `*.RUN`, alarm `*.TRIP`."
LCP-1F,DDC-1F-03,"EF-41, EF-42",Scheduled ventilation / exhaust,6,"Purpose: Ventilation / exhaust: run to the occupancy schedule and IAQ demand. | Control: Start/stop `*.SS` on schedule; interlock with associated AHU / fire mode; prove `*.RUN`, alarm `*.TRIP`."
LCP-2F,DDC-2F-01,"AC-8, AC-9, AC-10",Schedule + SAT coil control + economizer,36,"Purpose: Air-handling units AC-8, AC-9, AC-10: maintain supply-air temperature and space conditions on the occupancy schedule. | Start / fan control: Start/stop `*.SS` on the occupancy time-program; prove `*.RUN`, alarm `*.TRIP`. VFD supply fan `*.SPD` (feedback `*.SPDFB`) to duct static / demand. | Temperature control: Cooling coil `*.CCV` modulates to hold supply-air temp `*.SAT` (return `*.RAT`). Heating coil `*.HCV` sequenced with a deadband (no simultaneous heat/cool). Shoulder-season (Apr–May): drive to OA economizer / free-cooling — 100% OA, cooling coil closed — per the cutover plan. | Safeties & monitoring: Freeze-stat, fan-status proof, filter-DP and smoke/fire interlock (shut fan, spring-return dampers); high supply-temp alarm `*.SAT`."
LCP-2F,DDC-2F-02,"AC-11, AC-12, AC-13",Schedule + SAT coil control + economizer,36,"Purpose: Air-handling units AC-11, AC-12, AC-13: maintain supply-air temperature and space conditions on the occupancy schedule. | Start / fan control: Start/stop `*.SS` on the occupancy time-program; prove `*.RUN`, alarm `*.TRIP`. VFD supply fan `*.SPD` (feedback `*.SPDFB`) to duct static / demand. | Temperature control: Cooling coil `*.CCV` modulates to hold supply-air temp `*.SAT` (return `*.RAT`). Heating coil `*.HCV` sequenced with a deadband (no simultaneous heat/cool). Shoulder-season (Apr–May): drive to OA economizer / free-cooling — 100% OA, cooling coil closed — per the cutover plan. | Safeties & monitoring: Freeze-stat, fan-status proof, filter-DP and smoke/fire interlock (shut fan, spring-return dampers); high supply-temp alarm `*.SAT`."
LCP-2F,DDC-2F-03,"EVU-4, EVU-5, EVU-6",Scheduled ventilation / exhaust,36,"Purpose: Ventilation / exhaust: run to the occupancy schedule and IAQ demand. | Control: Start/stop `*.SS` on schedule; interlock with associated AHU / fire mode; prove `*.RUN`, alarm `*.TRIP`."
LCP-2F,DDC-2F-04,"EF-2-1, EF-46, EF-47",Scheduled ventilation / exhaust,9,"Purpose: Ventilation / exhaust: run to the occupancy schedule and IAQ demand. | Control: Start/stop `*.SS` on schedule; interlock with associated AHU / fire mode; prove `*.RUN`, alarm `*.TRIP`."
LCP-3F,DDC-3F-01,"AC-14, AC-15, AC-16",Schedule + SAT coil control + economizer,38,"Purpose: Air-handling units AC-14, AC-15, AC-16: maintain supply-air temperature and space conditions on the occupancy schedule. | Start / fan control: Start/stop `*.SS` on the occupancy time-program; prove `*.RUN`, alarm `*.TRIP`. VFD supply fan `*.SPD` (feedback `*.SPDFB`) to duct static / demand. | Temperature control: Cooling coil `*.CCV` modulates to hold supply-air temp `*.SAT` (return `*.RAT`). Heating coil `*.HCV` sequenced with a deadband (no simultaneous heat/cool). Shoulder-season (Apr–May): drive to OA economizer / free-cooling — 100% OA, cooling coil closed — per the cutover plan. | Safeties & monitoring: Freeze-stat, fan-status proof, filter-DP and smoke/fire interlock (shut fan, spring-return dampers); high supply-temp alarm `*.SAT`."
LCP-3F,DDC-3F-02,EVU-7,Scheduled ventilation / exhaust,12,"Purpose: Ventilation / exhaust: run to the occupancy schedule and IAQ demand. | Control: Start/stop `*.SS` on schedule; interlock with associated AHU / fire mode; prove `*.RUN`, alarm `*.TRIP`."
LCP-3F,DDC-3F-03,"EF-56, EF-60, EF-61",Scheduled ventilation / exhaust,9,"Purpose: Ventilation / exhaust: run to the occupancy schedule and IAQ demand. | Control: Start/stop `*.SS` on schedule; interlock with associated AHU / fire mode; prove `*.RUN`, alarm `*.TRIP`."
LCP-3F,DDC-3F-04,"EF-62, EF-76, EF-77",Scheduled ventilation / exhaust,9,"Purpose: Ventilation / exhaust: run to the occupancy schedule and IAQ demand. | Control: Start/stop `*.SS` on schedule; interlock with associated AHU / fire mode; prove `*.RUN`, alarm `*.TRIP`."
LCP-4F,DDC-4F-01,"AC-17, AC-18, AC-19",Schedule + SAT coil control + economizer,38,"Purpose: Air-handling units AC-17, AC-18, AC-19: maintain supply-air temperature and space conditions on the occupancy schedule. | Start / fan control: Start/stop `*.SS` on the occupancy time-program; prove `*.RUN`, alarm `*.TRIP`. VFD supply fan `*.SPD` (feedback `*.SPDFB`) to duct static / demand. | Temperature control: Cooling coil `*.CCV` modulates to hold supply-air temp `*.SAT` (return `*.RAT`). Heating coil `*.HCV` sequenced with a deadband (no simultaneous heat/cool). Shoulder-season (Apr–May): drive to OA economizer / free-cooling — 100% OA, cooling coil closed — per the cutover plan. | Safeties & monitoring: Freeze-stat, fan-status proof, filter-DP and smoke/fire interlock (shut fan, spring-return dampers); high supply-temp alarm `*.SAT`."
LCP-4F,DDC-4F-02,"AC-20, AC-21",Schedule + SAT coil control + economizer,24,"Purpose: Air-handling units AC-20, AC-21: maintain supply-air temperature and space conditions on the occupancy schedule. | Start / fan control: Start/stop `*.SS` on the occupancy time-program; prove `*.RUN`, alarm `*.TRIP`. VFD supply fan `*.SPD` (feedback `*.SPDFB`) to duct static / demand. | Temperature control: Cooling coil `*.CCV` modulates to hold supply-air temp `*.SAT` (return `*.RAT`). Heating coil `*.HCV` sequenced with a deadband (no simultaneous heat/cool). Shoulder-season (Apr–May): drive to OA economizer / free-cooling — 100% OA, cooling coil closed — per the cutover plan. | Safeties & monitoring: Freeze-stat, fan-status proof, filter-DP and smoke/fire interlock (shut fan, spring-return dampers); high supply-temp alarm `*.SAT`."
LCP-4F,DDC-4F-03,"EVU-8, EVU-9, EVU-10",Scheduled ventilation / exhaust,39,"Purpose: Ventilation / exhaust: run to the occupancy schedule and IAQ demand. | Control: Start/stop `*.SS` on schedule; interlock with associated AHU / fire mode; prove `*.RUN`, alarm `*.TRIP`."
LCP-4F,DDC-4F-04,"EF-54, EF-55, EF-57",Scheduled ventilation / exhaust,9,"Purpose: Ventilation / exhaust: run to the occupancy schedule and IAQ demand. | Control: Start/stop `*.SS` on schedule; interlock with associated AHU / fire mode; prove `*.RUN`, alarm `*.TRIP`."
LCP-4F,DDC-4F-05,"EF-58, EF-59, EF-59-2",Scheduled ventilation / exhaust,9,"Purpose: Ventilation / exhaust: run to the occupancy schedule and IAQ demand. | Control: Start/stop `*.SS` on schedule; interlock with associated AHU / fire mode; prove `*.RUN`, alarm `*.TRIP`."
LCP-4F,DDC-4F-06,"EF-67, EF-69, EF-70",Scheduled ventilation / exhaust,11,"Purpose: Ventilation / exhaust: run to the occupancy schedule and IAQ demand. | Control: Start/stop `*.SS` on schedule; interlock with associated AHU / fire mode; prove `*.RUN`, alarm `*.TRIP`."
LCP-4F,DDC-4F-07,EF-71,Scheduled ventilation / exhaust,3,"Purpose: Ventilation / exhaust: run to the occupancy schedule and IAQ demand. | Control: Start/stop `*.SS` on schedule; interlock with associated AHU / fire mode; prove `*.RUN`, alarm `*.TRIP`."
LCP-PKG,DDC-PKG-01,"PAC-1-1, PAC-1-2, PAC-2",Enable/monitor; integral DX (some 24/7),9,"Purpose: Packaged DX units (PAC-1-1, PAC-1-2, PAC-2) — several serve IT/electrical rooms and run continuously. | Control & monitoring: BMS enables/schedules via `*.SS` and monitors run `*.RUN` + fault `*.TRIP`; capacity is on the unit's integral DX thermostat. Electrical/IT-room units are 24/7 — treat as critical (stage spare cooling before any swap)."
LCP-PKG,DDC-PKG-02,"PAC-3, PAC-4, PAC-5",Enable/monitor; integral DX (some 24/7),9,"Purpose: Packaged DX units (PAC-3, PAC-4, PAC-5) — several serve IT/electrical rooms and run continuously. | Control & monitoring: BMS enables/schedules via `*.SS` and monitors run `*.RUN` + fault `*.TRIP`; capacity is on the unit's integral DX thermostat. Electrical/IT-room units are 24/7 — treat as critical (stage spare cooling before any swap)."
LCP-PKG,DDC-PKG-03,"PCU-1-1, PCU-1-2, PCU-5",Enable/monitor; integral DX (some 24/7),9,"Purpose: Packaged DX units (PCU-1-1, PCU-1-2, PCU-5) — several serve IT/electrical rooms and run continuously. | Control & monitoring: BMS enables/schedules via `*.SS` and monitors run `*.RUN` + fault `*.TRIP`; capacity is on the unit's integral DX thermostat. Electrical/IT-room units are 24/7 — treat as critical (stage spare cooling before any swap)."
LCP-PKG,DDC-PKG-04,"PCU-6, PCU-7, PCU-8",Enable/monitor; integral DX (some 24/7),9,"Purpose: Packaged DX units (PCU-6, PCU-7, PCU-8) — several serve IT/electrical rooms and run continuously. | Control & monitoring: BMS enables/schedules via `*.SS` and monitors run `*.RUN` + fault `*.TRIP`; capacity is on the unit's integral DX thermostat. Electrical/IT-room units are 24/7 — treat as critical (stage spare cooling before any swap)."
LCP-PKG,DDC-PKG-05,"PCU-10, PCU-11, PCU-12",Enable/monitor; integral DX (some 24/7),9,"Purpose: Packaged DX units (PCU-10, PCU-11, PCU-12) — several serve IT/electrical rooms and run continuously. | Control & monitoring: BMS enables/schedules via `*.SS` and monitors run `*.RUN` + fault `*.TRIP`; capacity is on the unit's integral DX thermostat. Electrical/IT-room units are 24/7 — treat as critical (stage spare cooling before any swap)."
LCP-PKG,DDC-PKG-06,"PCU-13, PMAC-1",Enable/monitor; integral DX (some 24/7),6,"Purpose: Packaged DX units (PCU-13, PMAC-1) — several serve IT/electrical rooms and run continuously. | Control & monitoring: BMS enables/schedules via `*.SS` and monitors run `*.RUN` + fault `*.TRIP`; capacity is on the unit's integral DX thermostat. Electrical/IT-room units are 24/7 — treat as critical (stage spare cooling before any swap)."
LCP-PKG,DDC-PKG-07,REFR-1,Start/stop + status/alarm,7,"Purpose: Supervise REFR-1: start/stop, status and alarm as available."
LCP-LTG,DDC-LTG-01,"LTG-AVIATION, LTG-NEON, LTG-BALCONY-L",Time/astro On-Off + status,6,"Purpose: Common-area & facade lighting groups on time-program / astronomical clock. | Control: On/Off `*.CMD` by schedule (and photocell/astro for facade); status `*.ST` proof. | Life-safety: Aviation obstruction light: regulatory — independent circuit, dusk-to-dawn/photocell, never commanded dark; failure alarms to central."
LCP-LTG,DDC-LTG-02,"LTG-BALCONY-H, LTG-CORRIDOR, LTG-LOBBY",Time/astro On-Off + status,6,Purpose: Common-area & facade lighting groups on time-program / astronomical clock. | Control: On/Off `*.CMD` by schedule (and photocell/astro for facade); status `*.ST` proof.
LCP-LTG,DDC-LTG-03,"LTG-SOFFIT, LTG-TENANT",Time/astro On-Off + status,4,Purpose: Common-area & facade lighting groups on time-program / astronomical clock. | Control: On/Off `*.CMD` by schedule (and photocell/astro for facade); status `*.ST` proof.
